,error_down,error_up,error_stay,mean_dist,total_params,file_name
216,0,0,0,135.08406430097222,"6,543",406060111
217,0,0,0,133.4293627956694,"6,543",406060111
218,0,0,0,133.5245149244227,"6,543",406060111
219,0,0,0,132.14072064525826,"6,543",406060111
220,0,0,0,131.01009158162336,"15,503",406060222
221,0,0,0,131.86656991740824,"15,503",406060222
222,0,0,0,131.27328878202383,"15,503",406060222
223,0,0,0,132.22718060888636,"15,503",406060222
224,1,0,0,134.723917364344,"7,823",406080111
225,0,0,0,133.9005436819339,"7,823",406080111
226,0,0,0,133.2128425490401,"7,823",406080111
227,0,0,0,133.16998968014502,"7,823",406080111
228,0,0,0,131.78442953980917,"19,603",406080222
229,0,0,0,131.03303171904815,"19,603",406080222
230,0,0,1,130.53275201580846,"19,603",406080222
231,0,0,0,130.99737294112686,"19,603",406080222
232,0,0,1,133.7852867053828,"5,203",408020111
233,0,0,0,134.35680281899448,"5,203",408020111
234,0,0,0,133.68964761013126,"5,203",408020111
235,0,0,0,132.70209181434356,"5,203",408020111
236,1,0,0,132.32447025312297,"13,743",408020222
237,1,0,0,131.23844433930043,"13,743",408020222
238,1,0,0,132.2978394624094,"13,743",408020222
239,0,0,0,132.37474562195553,"13,743",408020222
240,0,0,0,132.3325829550925,"6,883",408040111
241,0,0,0,132.74100112774622,"6,883",408040111
242,0,0,0,133.46120722163175,"6,883",408040111
243,0,0,0,133.10900852021865,"6,883",408040111
244,0,0,0,133.3987137462877,"16,643",408040222
245,0,0,0,131.66200765478638,"16,643",408040222
246,0,0,0,131.1054149215626,"16,643",408040222
247,0,0,0,131.1678861071066,"16,643",408040222
248,0,0,0,133.5477699737737,"8,563",408060111
249,0,0,0,134.26035304669722,"8,563",408060111
250,0,0,0,133.95565999972604,"8,563",408060111
251,0,0,0,133.53466762869454,"8,563",408060111
252,1,1,0,132.13052222255376,"20,343",408060222
253,0,0,0,131.4252247374016,"20,343",408060222
254,1,0,0,131.192210689073,"20,343",408060222
255,0,0,0,132.10201949602936,"20,343",408060222
256,0,0,0,133.9963131691224,"10,243",408080111
257,0,0,0,135.27049434077682,"10,243",408080111
258,0,0,1,135.54099785068254,"10,243",408080111
259,0,0,0,133.53155570691462,"10,243",408080111
260,0,0,0,130.07493102971847,"24,843",408080222
261,0,0,0,130.85319616175678,"24,843",408080222
262,0,0,1,130.2254528593859,"24,843",408080222
263,0,0,2,132.53687753144743,"24,843",408080222
264,1,1,0,135.80881967396516,108,555111
265,0,0,0,136.8382240862278,108,555111
266,0,1,0,138.5697659899933,108,555111
267,0,0,0,137.48719814000071,108,555111
268,0,0,0,133.39742067149405,"2,063",602020111
269,0,0,0,134.18326501355568,"2,063",602020111
270,0,0,0,134.13723033892722,"2,063",602020111
271,0,0,0,135.24378301868427,"2,063",602020111
272,2,0,0,132.39455389548135,"6,563",602020222
273,0,0,0,131.9713488123635,"6,563",602020222
274,0,0,0,131.69750438412512,"6,563",602020222
275,0,0,1,131.18011640561264,"6,563",602020222
276,1,0,1,133.80851806792265,"2,543",602040111
277,0,0,0,133.39107906569208,"2,543",602040111
278,0,0,0,132.99073765625576,"2,543",602040111
279,0,0,0,134.32583582242893,"2,543",602040111
280,2,1,0,130.71875476481728,"8,263",602040222
281,0,0,0,132.6862836449872,"8,263",602040222
282,0,0,1,131.9535401055465,"8,263",602040222
283,1,0,1,132.27610102965525,"8,263",602040222
284,0,0,0,133.45780912791082,"3,023",602060111
285,0,0,0,133.25630516460217,"3,023",602060111
286,0,0,1,133.47754560982833,"3,023",602060111
287,0,0,0,132.21762538841557,"3,023",602060111
288,0,0,0,130.04446479360382,"10,763",602060222
289,1,0,0,130.32784244186513,"10,763",602060222
290,1,0,0,130.94798609550077,"10,763",602060222
291,0,0,0,131.35659745456812,"10,763",602060222
292,0,0,0,133.58640587347924,"3,503",602080111
293,0,0,0,133.7860822419587,"3,503",602080111
294,0,0,0,133.5836711093367,"3,503",602080111
295,0,0,0,134.55206329443104,"3,503",602080111
296,0,0,0,130.3738442236571,"14,063",602080222
297,1,0,0,130.9968575758983,"14,063",602080222
298,0,0,0,132.44831624444396,"14,063",602080222
299,1,0,0,133.06287909648066,"14,063",602080222
300,0,0,0,131.8606764141635,"3,683",604020111
301,0,0,0,133.0788588085682,"3,683",604020111
302,0,0,0,133.9571055448015,"3,683",604020111
303,0,0,0,133.62955195884504,"3,683",604020111
304,0,0,0,132.72098263140418,"9,403",604020222
305,0,0,0,131.53052102481774,"9,403",604020222
306,1,0,0,130.97757593669525,"9,403",604020222
307,0,0,0,130.44030023854828,"9,403",604020222
308,0,0,0,133.35391021653183,"4,563",604040111
309,0,0,0,134.03645363997424,"4,563",604040111
310,0,0,0,134.0843303790562,"4,563",604040111
311,0,0,0,133.97838188995195,"4,563",604040111
312,0,0,0,131.41972705731067,"11,503",604040222
313,0,0,0,131.56906785610207,"11,503",604040222
314,0,0,1,130.37783808986632,"11,503",604040222
315,0,0,0,130.37854102073766,"11,503",604040222
316,0,0,0,133.26825275836472,"5,443",604060111
317,0,0,0,133.42950597520746,"5,443",604060111
318,0,0,0,133.82132334284066,"5,443",604060111
319,0,0,0,134.26235055216074,"5,443",604060111
320,0,0,1,130.8721797200108,"14,403",604060222
321,0,0,0,132.30034482563138,"14,403",604060222
322,1,0,1,130.1112323126794,"14,403",604060222
323,0,0,3,131.6723767611834,"14,403",604060222
324,0,0,0,133.09103683563634,"6,323",604080111
325,0,0,0,132.36775317107436,"6,323",604080111
326,0,0,0,133.2040849195122,"6,323",604080111
327,0,0,0,132.4914294957805,"6,323",604080111
328,1,0,0,132.0363805567651,"18,103",604080222
329,0,0,0,132.1146642532663,"18,103",604080222
330,0,1,0,131.07760980125897,"18,103",604080222
331,0,0,0,131.0320639788708,"18,103",604080222
332,0,0,0,133.24028202643967,"5,303",606020111
333,0,0,0,133.89009778968475,"5,303",606020111
334,0,0,0,135.9835579939853,"5,303",606020111
335,0,0,0,134.0716383627905,"5,303",606020111
336,0,0,0,130.5121899163741,"13,043",606020222
337,0,0,2,132.00328951083452,"13,043",606020222
338,1,1,0,132.21331108253477,"13,043",606020222
339,0,0,1,132.32912078084047,"13,043",606020222
340,0,0,0,133.3908750106217,"6,583",606040111
341,0,0,0,133.59693991866317,"6,583",606040111
342,0,0,0,133.9430930919013,"6,583",606040111
343,0,0,0,132.08761124224202,"6,583",606040111
344,0,0,0,130.4198802846185,"15,543",606040222
345,0,0,0,131.5231389743925,"15,543",606040222
346,0,0,0,131.64628452763355,"15,543",606040222
347,2,0,0,130.63747470605009,"15,543",606040222
348,0,0,0,133.98725370938126,"7,863",606060111
349,0,0,0,134.30029860884815,"7,863",606060111
350,0,0,0,133.08427364234527,"7,863",606060111
351,0,0,0,134.2061446115667,"7,863",606060111
352,0,0,0,131.42428443842044,"18,843",606060222
353,0,0,0,132.4291853394779,"18,843",606060222
354,1,0,1,131.5204580526556,"18,843",606060222
355,0,0,0,132.61225017850495,"18,843",606060222
356,0,0,0,133.97133174787297,"9,143",606080111
357,0,0,0,132.75729444118645,"9,143",606080111
358,0,0,0,132.7752830853208,"9,143",606080111
359,0,1,0,133.29117847212333,"9,143",606080111
360,0,0,0,131.096411051459,"22,943",606080222
361,0,0,0,131.19461273825007,"22,943",606080222
362,0,0,0,131.29834951885806,"22,943",606080222
363,0,0,0,132.6572242339235,"22,943",606080222
364,0,0,0,132.982391289332,"6,923",608020111
365,1,0,0,133.445312929323,"6,923",608020111
366,0,0,0,132.91166005347944,"6,923",608020111
367,0,0,0,134.4058546111018,"6,923",608020111
368,0,0,0,131.4525050029152,"17,483",608020222
369,0,0,0,131.07963698623382,"17,483",608020222
370,1,0,0,131.13788242835727,"17,483",608020222
371,0,0,0,132.07724846265586,"17,483",608020222
372,0,0,0,133.29340501030214,"8,603",608040111
373,1,0,0,132.4070179247189,"8,603",608040111
374,0,0,1,132.98880604600237,"8,603",608040111
375,0,0,0,133.8350963309413,"8,603",608040111
376,1,1,0,131.21627278208473,"20,383",608040222
377,0,0,0,130.75438441985648,"20,383",608040222
378,1,1,0,131.62339258909986,"20,383",608040222
379,0,0,0,132.12721689173173,"20,383",608040222
380,0,0,0,133.8995269266133,"10,283",608060111
381,0,0,0,132.6937427138041,"10,283",608060111
382,0,0,0,133.2724673724914,"10,283",608060111
383,0,0,0,133.48199025298294,"10,283",608060111
384,0,0,0,131.31347106582817,"24,083",608060222
385,1,0,1,132.64287513107013,"24,083",608060222
386,1,0,0,130.59710666770715,"24,083",608060222
387,0,0,0,131.60072252557197,"24,083",608060222
388,0,0,0,134.4049697877761,"11,963",608080111
389,0,0,0,134.9764984241753,"11,963",608080111
390,0,0,0,133.4945510618195,"11,963",608080111
391,0,0,0,132.4283455760224,"11,963",608080111
392,2,0,0,130.5418504385337,"28,583",608080222
393,0,0,1,132.66716222753263,"28,583",608080222
394,0,0,0,130.70889515343862,"28,583",608080222
395,1,0,0,132.29029719179476,"28,583",608080222
396,0,0,0,132.9890937196035,"2,583",802020111
397,0,0,0,134.73648248788103,"2,583",802020111
398,0,0,0,133.67854825389932,"2,583",802020111
399,0,0,0,133.7511018019282,"2,583",802020111
400,0,0,0,130.92029132580015,"9,903",802020222
401,0,0,0,132.27347346261212,"9,903",802020222
402,0,1,0,132.2117825831055,"9,903",802020222
403,0,0,0,132.3094818889939,"9,903",802020222
404,0,0,0,132.81554544741732,"3,063",802040111
405,0,0,0,134.91572032476213,"3,063",802040111
406,0,0,0,133.73171675799577,"3,063",802040111
407,0,0,0,135.09033607682494,"3,063",802040111
408,0,0,0,132.35073645839378,"11,603",802040222
409,0,0,0,131.53766516756457,"11,603",802040222
410,0,0,0,131.8245674808275,"11,603",802040222
